time,open,high,low,close
1742329800,567.0,567.3810852654706,566.7505545331071,566.7536505786214
1742331600,566.7536505786214,567.2165488188427,566.4269575973964,566.645625
1742333400,566.645625,567.5838479609932,566.4205330191778,567.289513730715
1742335200,567.289513730715,567.6353925011407,566.5356280791219,566.8355762116436
1742337000,566.8355762116436,567.2038565038101,566.690537135644,567.0229193068615
1742338800,567.0229193068615,567.2075356703631,566.4910255723116,566.9144551368639
1742340600,566.9144551368639,568.4279438356562,566.858767168074,567.9174043573636
1742342400,567.9174043573636,568.3537625521,567.039539743387,567.3286987016323
1742344200,567.3286987016323,567.6721630406454,567.0772168569945,567.1247216077091
1742346000,567.1247216077091,567.5679128952844,566.7490243299918,566.9685113281795
1742347800,566.9685113281795,568.2647852731205,566.8643663091495,567.9672632311776
1742349600,567.9672632311776,569.1600960100744,567.9658213001638,568.6917745065972
1742331600,568.6917745065972,570.066359068333,568.2130430590428,569.5436963983071
1742333400,569.5436963983071,570.5025727709383,569.4844600193907,569.994793715969
1742335200,569.994793715969,570.3733755042467,568.5737662999024,568.934682874059
1742337000,568.934682874059,568.9595883084377,568.4980180724987,568.5261316004177
1742338800,568.5261316004177,568.6157910302338,567.432994832087,567.5936650202395
1742340600,567.5936650202395,567.8807682972125,567.0817747897391,567.4173256946568
1742342400,567.4173256946568,567.5052772381612,566.3607987255633,566.645625
1742344200,566.645625,567.2085341794142,566.4496036817973,566.645625
1742346000,566.645625,567.1327240643794,566.1692825694003,566.645625
1742347800,566.645625,567.3191414385366,566.3848659353929,566.8304121827897
1742349600,566.8304121827897,567.0141934664427,566.6071588374641,566.645625
1742351400,566.645625,567.1120065885177,566.4131793863298,566.645625
1742333400,566.645625,568.2420201094778,566.0847722697683,567.6987742252884
1742335200,567.6987742252884,568.2482490988742,566.608542258385,566.9983074912186
1742337000,566.9983074912186,568.3147014300679,566.8210487999368,567.9107050357644
1742338800,567.9107050357644,567.987799139245,567.2601546343379,567.2754157707006
1742340600,567.2754157707006,567.6482623605248,566.8890672631895,567.4636267269476
1742342400,567.4636267269476,567.8437727461433,566.3211385657991,566.66317085811
1742344200,566.66317085811,566.9448214961939,566.347194879755,566.645625
1742346000,566.645625,567.479756174801,566.6068170612979,567.394650194334
1742347800,567.394650194334,567.477298463503,566.6175041748231,566.645625
1742349600,566.645625,567.1867138924299,566.181927414426,566.645625
1742351400,566.645625,568.0030532171004,566.2833314082346,567.5996662378741
1742353200,567.5996662378741,568.4351835528607,567.5392269002243,568.4200798596041
1742335200,568.4200798596041,568.5685109914945,568.2805033941754,568.5136686341694
1742337000,568.5136686341694,570.1025632273664,568.3289008441799,569.5639755784259
1742338800,569.5639755784259,569.7734805068148,568.7690873890239,569.1557776164211
1742340600,569.1557776164211,569.4976501087225,568.4709923497439,568.6211385678357
1742342400,568.6211385678357,569.0134919894883,567.230983896863,567.582718454946
1742344200,567.582718454946,567.8006859524377,567.087568853723,567.2839290128582
1742346000,567.2839290128582,567.42028445886,567.149173468787,567.3600099123755
1742347800,567.3600099123755,567.4734708732163,566.7220529969424,566.7626091097795
1742349600,566.7626091097795,567.7069463804917,566.5121727373034,567.4331979322977
1742351400,567.4331979322977,567.6457189854744,567.2964256864968,567.5919594404742
1742353200,567.5919594404742,568.8381109458109,567.4308349234554,568.5699672361847
1742355000,568.5699672361847,568.972443789442,568.0367303488562,568.1310012575935
1742337000,568.1310012575935,569.2964993992365,568.005805402329,568.9411989078666
1742338800,568.9411989078666,569.4496401373456,567.5315003773318,567.8697773954025
1742340600,567.8697773954025,569.5208606560382,567.6263927378376,568.9666695372582
1742342400,568.9666695372582,570.4019979281422,568.5940593701612,570.015028680774
1742344200,570.015028680774,570.9231392697303,569.4940384761641,570.6206774556459
1742346000,570.6206774556459,571.1556082014353,570.1944113670833,570.5397737133776
1742347800,570.5397737133776,571.8874004507462,570.4171540520324,571.4069252170515
1742349600,571.4069252170515,571.4415006319441,570.5715282480083,570.6072145285027
1742351400,570.6072145285027,570.9620151662306,569.070501236125,569.4698824771212
1742353200,569.4698824771212,570.6924137989881,569.2458914707538,570.3609014642128
1742355000,570.3609014642128,570.4978064400163,569.021644907772,569.3889449237552
1742356800,569.3889449237552,569.7305730382641,568.9677034106322,569.3189175069896
1742338800,569.3189175069896,569.7360058034636,567.8136398981447,568.3349989333568
1742340600,568.3349989333568,568.4242920029486,567.1138752279569,567.4161478930735
1742342400,567.4161478930735,567.8628343481889,567.3389536904858,567.5876362499637
1742344200,567.5876362499637,567.9493473084134,567.1869119315207,567.4544112224187
1742346000,567.4544112224187,568.6595172471737,566.9169891246906,568.1470348541426
1742347800,568.1470348541426,569.7131945581999,568.0239622889269,569.2133414779678
1742349600,569.2133414779678,569.7369255559126,569.1084670687827,569.2515578413713
1742351400,569.2515578413713,570.6349097837676,569.2360508731731,570.2069211371056
1742353200,570.2069211371056,570.362817228009,569.2513274841514,569.4169597007029
1742355000,569.4169597007029,569.8161498663126,568.5370474991126,568.817362984984
1742356800,568.817362984984,568.8945422882674,567.8555672713375,568.1844541372551
1742358600,568.1844541372551,568.6059564827993,566.9458882854675,567.3100878983466
1742340600,567.3100878983466,567.4185920307115,567.1854187669577,567.4031780202805
1742342400,567.4031780202805,568.1360208055886,567.1566080701915,568.0821183450604
1742344200,568.0821183450604,569.3556036755725,568.0062395247188,568.9880828097004
1742346000,568.9880828097004,569.9941873792978,568.9545763339949,569.8445890948366
1742347800,569.8445890948366,570.6570395694425,569.5762845206079,570.3245105185312
1742349600,570.3245105185312,570.9985006430724,570.1219011079488,570.6523650250872
1742351400,570.6523650250872,571.3198681602023,570.3274010061835,571.0696015971067
1742353200,571.0696015971067,571.694783550635,570.9553894159868,571.5133598641555
1742355000,571.5133598641555,571.8316019928492,570.18770817046,570.4311690521209
1742356800,570.4311690521209,570.6197172169715,570.134785160495,570.4119642845066
1742358600,570.4119642845066,570.4978710181492,570.1894413339741,570.4239418392782
1742360400,570.4239418392782,571.5803123614525,570.0832950144354,571.440211543582
